N	Агрегат	Код идентификации	Код агрегата
1	Нет	029000525040072YKOMnM	
2	Нет	029000525040073lZ/K;c	
3	Нет	029000525040076,e6CI3	
4	Нет	02900052504007CGBk/Wq	
5	Нет	02900052504007DBCU&K:	
6	Нет	02900052504007DEXUuiX	
7	Нет	02900052504007DdGajZR	
8	Нет	02900052504007NCkiQ?+	
9	Нет	02900052504007NHN6l;m	
10	Нет	02900052504007NcQL0dL	
11	Нет	02900052504007Nihm3_W	
12	Нет	02900052504007O/Vzrgt	
13	Нет	02900052504007TNG;05n	
14	Нет	02900052504007TPTFzW=	
15	Нет	02900052504007TtZ7YL9	
16	Нет	02900052504007cUOdtuq	
17	Нет	02900052504007d0OSK):	
18	Нет	02900052504007dCrb.BL	
19	Нет	02900052504007dD2ax(a	
20	Нет	02900052504007dEo_F"/	
21	Нет	02900052504007dh6fWOc	
22	Нет	02900052504007njaGMfO	
23	Нет	02900052504007nkYVyOA	
24	Нет	02900052504007p6nnflJ	
25	Нет	02900052504007rGg7QGc	
26	Нет	02900052504007rRaT4ft	
27	Нет	02900052504007syCSSb8	
28	Нет	02900052504007tO9kCmA	
29	Нет	02900052504007tbiocrN	
30	Нет	02900052504007ucWl'm0	
