N	Агрегат	Код идентификации	Код агрегата
1	Нет	04605648006054dVTBZ_I	
2	Нет	04605648006054DvyD*Ue	
3	Нет	04605648024362itsXsmM	
4	Нет	04605648024362IU(N5T8	
5	Нет	04605648009345jSXm&Gy	
6	Нет	04605648009345JT,9A;+	
7	Нет	04605648009345Js<tWCe	
8	Нет	04605648009345JSZ-:ld	
9	Нет	04605648009345Js5ijWp	
10	Нет	04605648009345jS3vyaJ	
11	Нет	04605648024362HYTjZ8W	
12	Нет	04605648024362Hyx+<Wn	
13	Нет	04605648024362HYR%bYT	
14	Нет	04605648024362hyZIZBc	
15	Нет	04605648006054ggIwpMc	
16	Нет	04605648006054gGgPL)L	
17	Нет	029000525040072YKOMnM	
18	Нет	029000525040073lZ/K;c	
19	Нет	029000525040076,e6CI3	
20	Нет	02900052504007CGBk/Wq	
21	Нет	02900052504007DBCU&K:	
22	Нет	02900052504007DEXUuiX	
23	Нет	02900052504007DdGajZR	
24	Нет	02900052504007NCkiQ?+	
25	Нет	02900052504007NHN6l;m	
26	Нет	02900052504007NcQL0dL	
27	Нет	02900052504007Nihm3_W	
28	Нет	02900052504007O/Vzrgt	
29	Нет	02900052504007TNG;05n	
30	Нет	02900052504007TPTFzW=	
31	Нет	02900052504007TtZ7YL9	
32	Нет	02900052504007cUOdtuq	
33	Нет	02900052504007d0OSK):	
34	Нет	02900052504007dCrb.BL	
35	Нет	02900052504007dD2ax(a	
36	Нет	02900052504007dEo_F"/	
37	Нет	02900052504007dh6fWOc	
38	Нет	02900052504007njaGMfO	
39	Нет	02900052504007nkYVyOA	
40	Нет	02900052504007p6nnflJ	
41	Нет	02900052504007rGg7QGc	
42	Нет	02900052504007rRaT4ft	
43	Нет	02900052504007syCSSb8	
44	Нет	02900052504007tO9kCmA	
45	Нет	02900052504007tbiocrN	
46	Нет	02900052504007ucWl'm0	
