Марка	Номенклатура	Количество
103400412293911018001W4RAE3Q5OX6R67E7WAFHBX7LAY23AGLCTA5SAVFCWZ3QMUJKTI4XMHWWF332EG2TI7IKSNMMNEETJUWMUWNNGYQ4D6VDLTR5QGMAREYZFEILKNRSQ75FVQLP2HISVXGWY	Купажированный виски "GLEN RIVERS"	1
134403524875221119001PH4XTCOAF6NOVLZPTEKQWIHHX46E7MIXVIFGVMOFH6XT2XQBO6GYLB22NMM45MHWSKFNPPZ2WJOHUR7FF73FVR5YH7WUST3G3GIUJKCJHFTGGSTEAY2HRN5JNDVMBLJDQ	Водка "Зимняя деревенька таёжная"	1
133300197877651018001VR2SMCMVC5IQKPRVVKXII5JHMQBPNVOPQP7I3FZRJO3RCY4UZJXT5B5ARRAWMUZ4LGQO3NRMFZCYTA6TUC7HXEAKUXUO55PNQIOCEXDR2OIOGW76GJ432GTJDI5KJXWCQ	Водка "Старая Казань Люкс"	1
1333001978777110180017OOP3MNVQZH3ACATTKG7TJ3XXMDWB77ZN7RB4I27QAUN3FP7CP4AWD7G7BHENUX6M7WTUPULVC5KJTEJPIUIJY24IMCCLDHTPU4O3EC3S6JW2SIMCIC6XH77AQY6U5FXY	Водка "Старая Казань Люкс"	1
136305539788610120001OTVHATMFUKWZHXN5NSMM6GPVUA3N4QZDJXLDIYT5Z66IOHGVYQITJZT5AVDTQG5H57BCWUF7FCQL6VJYZTARKB2MS7DKR2VTI6YFHQARV4QZAOKUKRRU4KTUEUOS4ELMY	Водка "МЕДВЕЖИЙ УЛОВ СЕВЕРНАЯ"	1
102400968513241018001AEZIKZV5EDI47BVPRJ6SNTKSYY3742ZZATX3SFFZQ3U22JBYWYGZIN42WL3GYSVVUBKDCQMMNH3WGGOML6UCLQMFVR42TUWK5BML6ZB4MEO3PLZIH5MUPADGMV4AWZ74A	Настойка сладкая "Зимняя деревенька клюква"	1
187401828047221220001M4DCQ7ST54FTRPM465YP3OMO7QRRBMDX4SIGQ3ZCVEHNX57C2IDPIVWODVS6RCG6P3MX4JOG2QUTV66W3WV4CSDKJAUOWSHU2FFLFJQIZGZC6GYH56ZCLNAGFRCU3KFOA	Водка "Солнечная деревенька на солодовом спирте "Альфа"	1
197300042195301120001MKJOXQ3HNEKWRH3U2LV5PJVLCQ4GDKPV4IFW53KZLYXMIT5IMVLLJ272UFK5MSRR6EYPPRWE6KH7CE3AA2UAAVU52GRLRZBXDUFDZA4NGHZMZY7OOBUENHQQCJHF5OM7I	Российский коньяк трехлетний "Три звездочки"	1
203300860616161018001CKMEK4PQNAJA2MDYY4DPIGYYGYLB3XVVMHOFBWRG5EVFPLGEBXSRJQM2665HYGTV52IUDA5EW4J6ZLT7MXACLYQNL6P4QIHBCE2QU5I7KKLZHJHJBCV2DPOYGXDKSIVYA	Армянский коньяк "АРМЯНСКИЙ КОНЬЯК" ВЫДЕРЖАННЫЙ 6 ЛЕТ	1
1984028626705804210016XPUBHCK43WQ73ZRFQH2K5VYEMFGTNP7SSSZU4JN74UGE3L6PRMGXLRQDOHPOQ7M5WKXITQSQM7DCAFLHXWURKEOYRYXXER3AEK4JWYWQKZEAVJMCGCVK4MUBXDY2CEKQ	Водка "ГРАФ ЛЕДОФФ (GRAF LEDOFF)"	1
103400323183731018001NFB3RSGSM22BSIZQWKU3XR26BMZRVUZCISTN5ELOVDDNTVV5FNNIEMHR3ILITLXDD7X6OOC4XY6XLUOWI2RWWNHRL4ESWHE7NUAMCNGT6ZAAH764QQGSAZCDLVYCA423Q	Настойка горькая с пшеничным ароматом "ГОСУДАРСТВЕННЫЙ АКЦИЗ"	1
198403494968770421001OOE3YKG6R4HTP7AYBII7FS2ZEULYELCYVXWQWFVD55P7SRGW4V6MSRDKTTWF5HSAV4AXS6SQAWENFROF3N352U6S5AIU4FPATODDTNIP3ZXV7BFQ63V34LBQPV2YGHXFA	Водка "ТЕЛЬНЯШКА"	1
195400397400891120001ACFJEYD5WTLR7QIIYOFLJTNYSQSUZMU5FKWGCBDMNP7LJ7GOCCLMRFHI7UXYI3JP3FVWCT4YL7JJUNLAC2IHMVIA3WAYCFOMX7PZWJR7VB2Y7HMPVZKUHUVZFAYNJYTBI	ПЛОДОВАЯ АЛКОГОЛЬНАЯ ПРОДУКЦИЯ ПОЛУСЛАДКАЯ "КРЫМСКАЯ АЭЛИТА БЕЛОЕ"	1
188401654453570821001OILNN3I537G6P7CQGX33PRVZKIYDW6C7QLBRZ5DWUTTT5L4Q2DBE6GLB3UA5P2H2CMQL4JJ2USC3R2OFSWIV22AOWWYIMSVJISH4PJXJN5XRDOQVOJYEP7ECMAKKOHZ2I	Водка "Зимняя Деревенька на солодовом спирте "Альфа"	1
187402686187200421001I4TMZM3ZUQBANQHC2KCCMQNFT4IGKHVAUDRGT2D3HSRU6UIJZANHBWLJSA4D3G6IKNAMSCFVYUZRZMNEUTXL24WA4HUND52YDRQQI7DAGJ5PVJ4AYPOLXJFI23HK2ISFA	Водка "Русский лед"	1
1712000639343210180016QZVB7QOYRKM3M5QPOQY6NFLQMK4PKCUGCWC4UHVW2HHJOUWU6WTB7LDYDTNNLFLKFIY33B4MOKH6BX2P3WIDXNYH62PPV7CDZD2ZCBGFCTUDIU3EJB2OJY337DX227YY	Вино столовое "Монастырская трапеза" сухое красное	1
1712000639362410180016RRXIFYYMQTJ7HSSL46KGZPGP4CHOLUSOOFOJVVWAO7X3E5COQUY4HL7M2KOBU5CGCHZ2WT5MINOHMKISQQ2DL5ZZKULEUGWZBW524KXJNFPUXTARA345F7A3TVNS4YLQ	Вино столовое "Монастырская трапеза" сухое красное	1
133400021897761018001WZ6NLKNG5NUYK3UDFFTUGP4DEYRGUKCPQLROA7UC522PQMXFEIORHND2QB755UA4LIQI3GZ2YMLLYS3JAOZ3DZVKDCWRJTGKBXFNI4CC4HZAIKDUWX4HIT7TSLCVD43VA	Водка "Старая Казань Люкс"	1
1334000218977410180015XX5T3K64G2GZ2XA2IOOABBRXE36ZQ347TEOMNLXM2QJAKYMCMMOGSIEG2DXPJIIPVRCDDTRGK6AEFZ3ONWO2SH665475QDXOUICAKLSNBVQIT6NJ7M3BCXRMTB7IH3IY	Водка "Старая Казань Люкс"	1
136407922976260420001HFNTT2XBSQPL5YCML2GZZK35IYMBJ42VI5S4JXW2VYUULNCZEHZRILOAP7D7I2C5MCPYWOCLJXHYJU5UD43U6JOGYIH22MLTQ7M5IPRLY6LCCCY6XN62CRP734GQPQAMI	Водка "Солнечная деревенька на солодовом спирте "Альфа"	1
101401496666400819001RUUG6KCC7EG7LWTJQ5LBJHLNE4NY3TLOPY6XR533KOVQZG6RNYZCXOU4WZ2V3HIX7SS7LZCA3N3E6MKCEXIK245HBT5L4QQZURBKCKW4IK4AI576HFA2CIB7JDOHQGZTQ	Напиток слабоалкогольный газированный "Аперитини Спритц Апельсин (Aperitini Spritz Orange)"	1
1873011397437512200014CD7UDFGTDAW4RJL4MT53OOWEQMHHS25KVMMNP53DF2AZFDD3DI6LJYFT5FEARAB2BAYIQ4QA76YBW53PQ7ARQH7SDJ2EVJIHRV3A2PO437GHIFNQUY6Z3MLE4A7Q2VRY	Водка особая "ЛАДОГА ХЛЕБНАЯ"	1
134200000209231018001NQKHM5IF7ABX6L2I26JJDRSYZUTTC4EQJOU4WLLW57AKJVI752QFINZ6QKU3MJDCZEDYA3QZWHBB2Q5YCH4MGGH2ABMQ7ZS44PZBWHA23UUPCOO6XX2EGXK5PFGPM6UWI	Водка "ГРАФ ЛЕДОФФ (GRAF LEDOFF)"	1
