N	Агрегат	Код идентификации	Код агрегата
1	Нет	046056480071120000=(h	
2	Нет	046056480071120000=)l	
3	Нет	046056480071120000?M4	
4	Нет	046056480071120000:fs	
5	Да	010460043993949821cgmW>8W	
6	Нет	000000462338138N&H86s	
7	Нет	00000046210609LiZsUpm	
8	Да	010460165303444021Y/FERVw	
9	Нет	00000046233837R6H,!P7	
10	Да	010460043993949821&>xCdGr	
11	Нет	000000462247745y22g53	
12	Нет	00000046224774jamihFc	
13	Нет	00000046224774g%bdg"L	
14	Нет	000000462247749qP:&M.	
15	Нет	00000046224774S_JBqY5	
16	Нет	00000046224774f7JN4nc	
17	Нет	000000462247741iZG=CY	
18	Нет	000000462247742w8=WZ%	
19	Нет	00000046224774VX8rt0z	
20	Нет	00000046233813/=<FEiW	
21	Нет	00000046233813K"Iytza	
22	Нет	00000046233813&S9Ju67	
23	Нет	00000046233813+M_cGWR	
24	Нет	000000462223745U!938g	
25	Нет	00000046222374='92G9q	
26	Нет	00000046224774'b&NF%y	
27	Нет	000000462247740g8uIU"	
28	Нет	000000462247745.GNq'r	
29	Нет	00000046224774GI+01I=	
30	Нет	00000046224774TWvSPqv	
31	Нет	00000046224774Z3DtM,<	
32	Нет	00000046224774iU8_p2c	
33	Нет	00000046224774k-AoeA"	
34	Нет	00000046217110q1w=W?N	
35	Да	010460165303380121CPP2I*s	
36	Да	010460165303380121T>Xmt-w	
37	Да	010460165303380121j+pdSsO	
38	Да	010460165303380121y'i*Hgr	
39	Да	010460620309751721%ajqf"	
40	Да	010460620309751721%z&Hp>L	
41	Да	01046062030975172108dMZrB	
42	Да	01046062030975172142!0+kI	
43	Да	010460620309751721XJVB6Lf	
44	Да	010460620309751721p*I?G4Y	
45	Да	010460620309751721zmVOyZX	
46	Да	010460620309751721.iRt/sG	
47	Да	010460620309751721C7I&j0q	
48	Да	010460620309751721CEz>HwT	
49	Да	010460620309751721J.i.M<>	
50	Да	010460620309751721eFgZ1*X	
51	Да	010460620309751721jOl'9?-	
52	Да	010460620309751721uFdhB_6	
53	Да	010460620309751721z*:0r-x	
54	Да	010460620310075021!fGTYQi	
55	Да	010460620310075021-N-Ua+;	
56	Да	0104606203100750210=0dU.p	
57	Да	0104606203100750215lGouK5	
58	Да	0104606203100750219R1B"+	
59	Да	010460620310075021;BGp.Hr	
60	Да	010460620310075021Aa;y2-X	
61	Да	010460620310075021B"+8?R	
62	Да	010460620310075021IsNaoVd	
63	Да	010460620310075021K'Kq,Ul	
64	Да	010460620310075021VNv2.df	
65	Да	010460620310075021bzw?Qs"	
66	Да	010460620310075021c>,RLza	
67	Да	010460620310075021l=&8D/1	
68	Да	010460620310075021tGl<FhU	
69	Да	010460620310075021ttzVvx/	
70	Да	010460620309811821E"Y<0G	
71	Да	010460620309775321'Lc_Obs	
72	Да	010460620309775321-:hB-<G	
73	Да	0104606203097753217=fyVW1	
74	Да	010460620309775321Mryj:wp	
75	Да	010460620309775321Q=,K<'N	
76	Да	010460620309775321TkP3.p_	
77	Да	010460620309775321_ko:QsY	
78	Да	010460620309775321lZQlZM:	
79	Да	0104606203097753215'BqGZ_	
80	Да	010460620309775321?ir.a9Y	
81	Да	010460620309775321Wqc",d	
82	Да	010460620309775321g'dK+fP	
83	Да	010460620309751721%i/hkO;	
84	Да	010460620309751721*.ra5S;	
85	Да	0104606203097517218;7zyW'	
86	Да	010460620309751721oNzc=uo	
87	Да	010460620309751721syMh?J%	
88	Да	010460620310107821EW2mco.	
89	Да	010460620310075021"N=asW	
90	Да	010460620310075021H%PiiD'	
91	Да	010460620310075021_?WPN0z	
92	Да	010460620310075021emvp1Do	
93	Да	010460620310075021hGzK4*C	
94	Да	010460620310075021i>bv37N	
95	Да	010460620309771521cK;,_k?	
96	Да	010460620309771521!:KayV:	
97	Да	010460620309771521P2;r.gL	
98	Да	010460620309771521Pk.DB&h	
99	Да	010460620309771521QJyk=Gq	
100	Да	010460620309771521AHaX5;v	
101	Да	010460620309771521vQfIpxY	
102	Да	010460620310035421'V_&_l&	
103	Да	0104606203100354210Jup'Nj	
104	Да	0104606203100354212tm!W_S	
105	Да	0104606203100354219&HhX_P	
106	Да	0104606203097715213s3a!m&	
107	Да	010460620309771521?e-bM1A	
108	Да	010460620309771521dfzo6!X	
109	Да	010460620310075021<6fLI0W	
110	Да	010460620310075021Dix=506	
111	Да	010460620310075021S+I,t-S	
112	Да	010460620310075021erG5&-D	
113	Да	010460620310075021fq!'GFE	
114	Да	010460620310075021lO;KkG3	
115	Да	010460620310075021phAL3!0	
116	Да	0104606203099559217D:Hj>m	
117	Да	010460620309955921Pz?AZ<e	
118	Да	010460620309959721+Z9B8gv	
119	Да	010460620309959721K0'v&lh	
120	Да	010460620309959721O+/_y:E	
121	Да	010460620309959721d/>P+c/	
122	Да	010460620309955921&/Bj17>	
123	Да	010460620309955921JXfTA+/	
124	Да	010460620309955921L.DY%hS	
125	Да	010460620309955921k2_8W?N	
126	Да	010460620309955921p1"XS.	
127	Да	010460620309963421,tXJ,Dy	
128	Да	010460620309963421-0IzLjJ	
129	Да	010460620309963421joXSvH6	
130	Да	010460620309963421v2cY9dZ	
131	Да	010460620309963421xX.fV?N	
132	Да	010460620309963421"NG3;F	
133	Да	010460620309963421'k:&Znv	
134	Да	010460620309963421-!>?cO!	
135	Да	0104606203099634211b%qt6i	
136	Да	010460620309963421Qf,Kx35	
137	Да	010460620309963421stxzJfO	
138	Да	010460620309803321,n"%1E	
139	Да	010460620309803321v-HeY**	
140	Да	010460620309803321CPK3c,t	
141	Да	010460620309803321MC"G7h	
142	Да	010460620309959721QoqT;6;	
143	Да	010460620309959721E0D;AOt	
144	Да	010460620309959721G;q7cCq	
145	Да	010460620309959721J5XDtxN	
146	Да	010460620309959721L4*5km_	
147	Да	010460620309959721ODJ,'6M	
148	Да	010460620309959721ZyOBIdI	
149	Да	010460620309959721dGIbg,>	
150	Да	010460620309959721oELs?uG	
151	Да	010460620309959721tfz7f?Z	
152	Да	010460620309959721wLzuAeE	
153	Да	0104601653034563218;LhV6v	
154	Да	01046062030996342167;kmo*	
155	Да	010460620309963421=tZ7sJC	
156	Да	010460620309963421AD.kX:;	
157	Да	010460620309963421Jc+7I<>	
158	Да	010460620309963421XxCi&TD	
159	Да	0104606203099597216Knd>yf	
160	Да	0104606203099597217CZ:*%/	
161	Да	0104606203099597219KxpKBZ	
162	Да	010460620309959721:w%AqiX	
163	Да	010460620309959721;2!35qa	
164	Да	010460620309959721HXX.t*9	
165	Да	010460620309959721Hm!-y&+	
166	Да	010460620309895821"7%OR2	
167	Да	010460620309895821=7<:wdZ	
168	Да	010460620309895821I*dG&fU	
169	Да	010460620309895821Y-g*W+N	
170	Да	010460620309895821tsF0v94	
171	Да	010460620309895821uSeQTBo	
172	Да	010460620309895821&-e-AOh	
173	Да	0104606203098958212GB+MXK	
174	Да	010460620309895821D'*T?Ec	
175	Да	010460620309895821l"xh6b	
176	Нет	00000046223005'Nf+'4G	
177	Да	010460620309955921Jxj"uM	
178	Нет	00000046209634k&xG%8M	
179	Нет	00000046210609!D5co*X	
180	Нет	00000046210609F7<rO0u	
181	Нет	00000046210609JAAO=L9	
182	Нет	00000046210586/s<u-d'	
183	Нет	000000462105863B6F>M8	
184	Нет	00000046210586b'a4fa8	
185	Нет	00000046224552s3WZTMN	
186	Нет	00000046223036F+b8<jj	
187	Да	010460620309591921/E!<g-V	
188	Да	010460043993567421GW-kS?T	
189	Да	010460043993567421waTwm-z	
190	Да	010460043993567421IH:pCak	
191	Да	010460043993567421PafP3L0	
192	Да	010460043993567421b=:Jh6h	
193	Да	0104600439937432217q4kD<A	
194	Да	0104600439934035214oBY>1I	
195	Да	010460043993403521Y/7*=qK	
196	Да	010460043993403521jf/WfFA	
197	Да	010460043993403521juv+DL6	
198	Да	010460043993403521y9zM3,f	
