1	Нет	00000046247148XEK!4kv
2	Нет	04606203103188BMiJ<u9	
3	Нет	04606203093267Hd;mzh4	
4	Нет	000000462305081WmSB>M	
5	Нет	000000462305088HMz%5>	
6	Нет	00000046230508U"scXgm	
7	Нет	00000046230508UwTHhsP	
8	Нет	00000046230508V!_TBoj	
9	Нет	00000046230508ZVZBFJ*	
10	Нет	04606203101061bVAP9Pv	
11	Нет	04606203101061gV;lc8-	
12	Нет	00000046245960r/4Ysg<	
13	Нет	04606203103348P'uA;b0	
14	Нет	04606203103348R74jclH	
15	Нет	04606203103348Ka2'&5H	
16	Нет	04606203103348Z4ibOAW	
17	Нет	04606203103348Kta7iTg	
18	Нет	04606203103348PG2by=+	
19	Нет	04606203103348>7<Za9d	
20	Нет	04606203103348?2FmL_Z	
21	Нет	04606203103348G/kOs+u	
22	Нет	04606203103348XP??pa"	
23	Нет	04606203103348gnPN,,B	
24	Нет	04606203103348ihkRhW"	
25	Нет	04606203103348jcv>p=a	
26	Нет	04606203103348k7-tu73	
27	Нет	046062031026248OB0dxc	
28	Нет	00000046230539Hv/eEfJ	
29	Нет	00000046230539.UI0,Tu	
30	Нет	00000046230539nYtv+kY	
31	Нет	04606203101184uR+AlTl	
32	Нет	0460620309802602"h>4Y	
33	Нет	00000046254863XgxDEIU	
34	Нет	00000046254863u_&nw?<	
35	Нет	00000046254863"Kuv5&q	
36	Нет	00000046254863Dq/d0n=	
37	Нет	00000046254863_+kjvrv	
38	Нет	00000046254863dOkdO3=	
39	Нет	00000046254863j=Y_TFm	
40	Нет	00000046254863lz5dxak	
41	Нет	00000046254863zl?UVE*	
42	Нет	04601653037588M1dZmbp	
43	Нет	04606203102624!D<F&0g	
44	Нет	04606203102624qJjpccV	
45	Нет	04606203102624OkE9*U:	
46	Нет	04606203102624a9by;*+	
47	Нет	04606203102624YfzAs9Q	
48	Нет	04606203103348!KKbOVb	
49	Нет	046062031033486<M4HZ?	
